id,model_name,manufacturer,status,detail_url,quote_url,photo_count,floorplan_count,media_status,matterport
43372,Premier / Creole 3256H32447,Champion Homes,Available,https://www.texashomeoutlet.com/inventory-detail/43372/texas-home-outlet/huffman/premier/,https://www.texashomeoutlet.com/quote/inventory/43372/dealer/3522/,21,1,photo_ready,True
28102,TRU Single Section / TRU Single Section Delight,TRU,Available,https://www.texashomeoutlet.com/inventory-detail/28102/texas-home-outlet/huffman/tru-single-section/,https://www.texashomeoutlet.com/quote/inventory/28102/dealer/3522/,8,2,photo_ready,True
30643,TRU Single Section / Glory,TRU,Available,https://www.texashomeoutlet.com/inventory-detail/30643/texas-home-outlet/huffman/tru-single-section/,https://www.texashomeoutlet.com/quote/inventory/30643/dealer/3522/,10,2,photo_ready,True
42155,The Promotional Series / The Nassau FAC28483A,Jessup Housing,Available,https://www.texashomeoutlet.com/inventory-detail/42155/texas-home-outlet/huffman/the-promotional-series/,https://www.texashomeoutlet.com/quote/inventory/42155/dealer/3522/,13,0,photo_ready,False
42156,The Elite Series / The Jackson ELS16763D,Jessup Housing,Available,https://www.texashomeoutlet.com/inventory-detail/42156/texas-home-outlet/huffman/the-elite-series/,https://www.texashomeoutlet.com/quote/inventory/42156/dealer/3522/,6,1,photo_ready,False
42688,Independent / Anatolia XL SLT28683AH,Clayton Sulphur Springs,Available,https://www.texashomeoutlet.com/inventory-detail/42688/texas-home-outlet/huffman/independent/,https://www.texashomeoutlet.com/quote/inventory/42688/dealer/3522/,17,1,photo_ready,True
42689,Epic Experience / The Mariner CEE16763EH,Southern Energy Homes,Available,https://www.texashomeoutlet.com/inventory-detail/42689/texas-home-outlet/huffman/epic-experience/,https://www.texashomeoutlet.com/quote/inventory/42689/dealer/3522/,9,3,photo_ready,False
43790,Premier / Bourbon 3276H42398,Champion Homes,Available,https://www.texashomeoutlet.com/inventory-detail/43790/texas-home-outlet/huffman/premier/,https://www.texashomeoutlet.com/quote/inventory/43790/dealer/3522/,22,1,photo_ready,True
43798,Alpine Series / El Capitan 32SAP32563AH,Schult Waco 2,Available,https://www.texashomeoutlet.com/inventory-detail/43798/texas-home-outlet/huffman/alpine-series/,https://www.texashomeoutlet.com/quote/inventory/43798/dealer/3522/,21,1,photo_ready,True
43940,TRU Multi Section / Triumph TRU28765AH,TRU,Available,https://www.texashomeoutlet.com/inventory-detail/43940/texas-home-outlet/huffman/tru-multi-section/,https://www.texashomeoutlet.com/quote/inventory/43940/dealer/3522/,13,2,photo_ready,False
43941,TRU Multi Section / Satisfaction TRU28483RH,TRU,Available,https://www.texashomeoutlet.com/inventory-detail/43941/texas-home-outlet/huffman/tru-multi-section/,https://www.texashomeoutlet.com/quote/inventory/43941/dealer/3522/,11,2,photo_ready,False
43942,Solution / The Pt 78 SLT28563D,Clayton Sulphur Springs,Available,https://www.texashomeoutlet.com/inventory-detail/43942/texas-home-outlet/huffman/solution/,https://www.texashomeoutlet.com/quote/inventory/43942/dealer/3522/,13,1,photo_ready,True
44490,PRE-OWNED / Big Blue,Texas Home Outlet,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/44490/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/3522/44490,6,1,photo_ready,False
41976,The Promotional Series / The Rosewood FAC28644A,Jessup Housing,Available,https://www.texashomeoutlet.com/inventory-detail/41976/texas-home-outlet/huffman/the-promotional-series/,https://www.texashomeoutlet.com/quote/inventory/41976/dealer/3522/,20,1,photo_ready,False
28527,PRE-OWNED / Heritage 1672-32C,Legacy Housing,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/28527/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/28527/dealer/3522/,20,1,photo_ready,False
28966,PRE-OWNED / Select Legacy S-1672-32B,Legacy Housing,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/28966/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/28966/dealer/3522/,16,1,photo_ready,False
43943,PRE-OWNED / Select S-1272-32A,Legacy Housing 2,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/43943/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/43943/dealer/3522/,9,1,photo_ready,False
43944,PRE-OWNED / Select S-1256-21A,Legacy Housing 2,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/43944/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/43944/dealer/3522/,11,1,photo_ready,False
43945,PRE-OWNED / Heritage 1684-32A,Legacy Housing,Pre-Owned,https://www.texashomeoutlet.com/inventory-detail/43945/texas-home-outlet/huffman/pre-owned/,https://www.texashomeoutlet.com/quote/inventory/43945/dealer/3522/,8,1,photo_ready,False
