id,legacy_plan_id,model_name,manufacturer,classification,detail_url,quote_url,floorplan_url,photo_count,floorplan_count,matterport
floorplan-223034,223034,Skyliner / 4732B,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/223034/skyliner/4732b/,https://www.texashomeoutlet.com/quote/floorplan/223034/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2045/floorplan/223034/4732-floor-plans-SMALL.jpg,1,1,False
floorplan-226545,226545,Solution / The Absolute Value SLC28764A,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/226545/solution/the-absolute-value-slc28764a/,https://www.texashomeoutlet.com/quote/floorplan/226545/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/226545/floor-plans-SMALL%20%289%29.jpg,1,1,True
floorplan-226581,226581,Premier / The Dauphine 3260-H-32005,Champion Homes,Double Wide,https://www.texashomeoutlet.com/plan/226581/premier/the-dauphine-3260-h-32005/,https://www.texashomeoutlet.com/quote/floorplan/226581/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3373/floorplan/226581/3260-H-32005-floor-plans-SMALL.jpg,1,1,True
floorplan-227811,227811,Palmetto / The Poydras 3256-H-32004,Skyline Homes,Double Wide,https://www.texashomeoutlet.com/plan/227811/palmetto/the-poydras-3256-h-32004/,https://www.texashomeoutlet.com/quote/floorplan/227811/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3339/floorplan/227811/poydras%2032%20floor-plans-SMALL.jpg,1,1,True
floorplan-232387,232387,Independent / Anatolia SLT28563E,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/232387/independent/anatolia-slt28563e/,https://www.texashomeoutlet.com/quote/floorplan/232387/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/232387/Anatolia.jpg,1,1,True
floorplan-236775,236775,Epic Journey / Desoto 43CEJ28483AH,Southern Energy Homes,Double Wide,https://www.texashomeoutlet.com/plan/236775/epic-journey/desoto-43cej28483ah/,https://www.texashomeoutlet.com/quote/floorplan/236775/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/1997/floorplan/236775/desoto.jpg,1,1,True
floorplan-222035,222035,Compass / Fernández 2303,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/222035/compass/fern%C3%A1ndez-2303/,https://www.texashomeoutlet.com/quote/floorplan/222035/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222035/2303.jpg,1,1,True
floorplan-222040,222040,Compass / Beebe 2810,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/222040/compass/beebe-2810/,https://www.texashomeoutlet.com/quote/floorplan/222040/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222040/HS2810-floor-plans.jpg,1,1,True
floorplan-223567,223567,Valu Maxx / VM-14663M,Cavco Homes of Texas,Single Wide,https://www.texashomeoutlet.com/plan/223567/valu-maxx/vm-14663m/,https://www.texashomeoutlet.com/quote/floorplan/223567/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2022/floorplan/223567/VM-14663M-floor-plans-01.jpg,1,1,True
floorplan-222020,222020,Compass / Pizzaro 312-P6,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/222020/compass/pizzaro-312-p6/,https://www.texashomeoutlet.com/quote/floorplan/222020/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222020/312.jpg,1,1,True
floorplan-222022,222022,Compass / Galindo 225,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/222022/compass/galindo-225/,https://www.texashomeoutlet.com/quote/floorplan/222022/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222022/225.png,1,1,True
floorplan-222026,222026,Compass / Cortés 230,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/222026/compass/cort%C3%A9s-230/,https://www.texashomeoutlet.com/quote/floorplan/222026/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222026/230.jpg,1,1,True
floorplan-222038,222038,Compass / Ocampo 2306P,Meridian Homes,Double Wide,https://www.texashomeoutlet.com/plan/222038/compass/ocampo-2306p/,https://www.texashomeoutlet.com/quote/floorplan/222038/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/222038/2306P.jpg,0,1,True
floorplan-223568,223568,Valu Maxx / VM-14763M,Cavco Homes of Texas,Single Wide,https://www.texashomeoutlet.com/plan/223568/valu-maxx/vm-14763m/,https://www.texashomeoutlet.com/quote/floorplan/223568/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2022/floorplan/223568/VM-14763M-floor-plans.jpg,1,1,True
floorplan-223569,223569,Valu Maxx / VM-28563M,Cavco Homes of Texas,Double Wide,https://www.texashomeoutlet.com/plan/223569/valu-maxx/vm-28563m/,https://www.texashomeoutlet.com/quote/floorplan/223569/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2022/floorplan/223569/VM-28563M-floor-plans.jpg,1,1,True
floorplan-224381,224381,The Elite Series / The Lincoln ELS16763B,Jessup Housing,Single Wide,https://www.texashomeoutlet.com/plan/224381/the-elite-series/the-lincoln-els16763b/,https://www.texashomeoutlet.com/quote/floorplan/224381/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3328/floorplan/224381/The%20Lincoln%20ELS16763B.jpg,1,1,True
floorplan-224810,224810,The Elite Series / The Murphy ELT32764A,Jessup Housing,Double Wide,https://www.texashomeoutlet.com/plan/224810/the-elite-series/the-murphy-elt32764a/,https://www.texashomeoutlet.com/quote/floorplan/224810/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3328/floorplan/224810/The%20Murphy%20ELT32764A.jpg,1,1,True
floorplan-225053,225053,New Vision / The Big Steve,New Vision Manufacturing,Double Wide,https://www.texashomeoutlet.com/plan/225053/new-vision/the-big-steve/,https://www.texashomeoutlet.com/quote/floorplan/225053/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/225053/the-big-steve-floor-plans.jpg,1,1,True
floorplan-225054,225054,New Vision / The Willison,New Vision Manufacturing,Single Wide,https://www.texashomeoutlet.com/plan/225054/new-vision/the-willison/,https://www.texashomeoutlet.com/quote/floorplan/225054/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/225054/The-Willison-floor-plans.jpg,1,1,True
floorplan-225062,225062,New Vision / The Bobby Jo,New Vision Manufacturing,Single Wide,https://www.texashomeoutlet.com/plan/225062/new-vision/the-bobby-jo/,https://www.texashomeoutlet.com/quote/floorplan/225062/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/225062/the%20bobby%20jo%20floor-plans.jpg,1,1,True
floorplan-225063,225063,Park House / The Vail,New Vision Manufacturing,Park Model,https://www.texashomeoutlet.com/plan/225063/park-house/the-vail/,https://www.texashomeoutlet.com/quote/floorplan/225063/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/225063/the-vail-floor-plans.jpg,1,1,True
floorplan-225068,225068,Valu Maxx Premier / VY-32684E,Cavco Homes of Texas,Double Wide,https://www.texashomeoutlet.com/plan/225068/valu-maxx-premier/vy-32684e/,https://www.texashomeoutlet.com/quote/floorplan/225068/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2022/floorplan/225068/VY-32684E-floor-plans-01.jpg,1,1,True
floorplan-225696,225696,The Elite Series / The Eisenhower ELT32603A,Jessup Housing,Double Wide,https://www.texashomeoutlet.com/plan/225696/the-elite-series/the-eisenhower-elt32603a/,https://www.texashomeoutlet.com/quote/floorplan/225696/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3328/floorplan/225696/The%20Eisenhower%20ELT32603A.jpg,1,1,True
floorplan-225947,225947,Prairie Dune / 8785E,Skyline Homes,Single Wide,https://www.texashomeoutlet.com/plan/225947/prairie-dune/8785e/,https://www.texashomeoutlet.com/quote/floorplan/225947/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2045/floorplan/225947/8785E-floor-plans.jpg,1,1,True
floorplan-226536,226536,Independent / The Farmhouse Flex SLT32603A,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/226536/independent/the-farmhouse-flex-slt32603a/,https://www.texashomeoutlet.com/quote/floorplan/226536/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/226536/floor-plans-SMALL%20%285%29.jpg,1,1,True
floorplan-226547,226547,Solution / The Crazy Eights SLC28564A,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/226547/solution/the-crazy-eights-slc28564a/,https://www.texashomeoutlet.com/quote/floorplan/226547/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/226547/floor-plans-SMALL%20%284%29.jpg,1,1,True
floorplan-226548,226548,Solution / The Pt 78 SLT28563D,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/226548/solution/the-pt-78-slt28563d/,https://www.texashomeoutlet.com/quote/floorplan/226548/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/226548/floor-plans-SMALL%20%282%29.jpg,1,1,True
